Event #,LargeDataSizeCatagories,MediumDataSizeCatagories,GrilleType,MaxValuePM25,StandardDevPM25,NumUniqueDataPoints,AverageSpeed,StdSpeed,CorrelationCoeff,Coef Abs,MinAltitude,MaxAltitude
57,High Signal ,High Signal,Holes,61.200,6.253,1642,8.881,4.769,0.462,0.462,-6.000,26.900
97,High Signal ,High Signal,Bent,139.500,12.069,425.000,9.268,3.952,0.162,0.162,35.599,64.400
96,High Signal ,High Signal,Bent,160.500,10.364,869.000,10.454,4.702,-0.250,0.250,36.400,96.000
83,High Signal ,High Signal,Bent,227.600,11.918,1032,11.076,3.246,-0.088,0.088,-1.700,78.500
95,High Signal ,High Signal,Bent,879.590,57.595,735.000,16.499,2.809,-0.091,0.091,36.500,48.799
90,High Signal ,High Signal,Bent,1575.800,249.054,151.000,9.251,2.394,-0.180,0.180,43.500,63.400
29,High Signal ,High Signal,Control,308.100,73.401,109,5.210,3.661,0.886,0.886,24.600,52.299
30,High Signal,High Signal,Control,337.790,44.344,331,10.015,5.935,-0.518,0.518,45.599,68.099
47,Low Signal,Medium Signal,Holes,12.500,1.829,1260,10.084,4.331,-0.277,0.277,8.200,55.299
46,Low Signal,Medium Signal,Holes,25.900,1.950,997,12.675,4.627,0.226,0.226,13.600,89.300
48,Low Signal,Medium Signal,Holes,28.100,2.673,1438,9.551,4.365,0.444,0.444,-45.000,54.299
43,Low Signal,Medium Signal,Holes,29.000,5.430,3823,9.761,4.151,0.078,0.078,8.800,185.800
72,Low Signal,Medium Signal,Bent,29.000,3.937,851,10.447,4.873,-0.02,0.02,-3.400,48.900
92,Low Signal,No Signal,Bent,2.500,0.330,60,11.486,6.566,-0.29,0.29,39.099,55.000
78,Low Signal,No Signal,Bent,3.500,0.246,81,18.168,2.848,-0.16,0.16,38.500,44.599
79,Low Signal,No Signal,Bent,3.800,0.235,89,17.789,2.394,0.20,0.20,37.299,43.000
61,Low Signal,No Signal,Bent,3.900,0.479,1437,11.044,4.351,0.04,0.04,-33.500,71.400
76,Low Signal,No Signal,Bent,3.900,0.427,147,10.184,1.476,-0.02,0.02,39.000,45.700
82,Low Signal,No Signal,Bent,4.000,0.373,136,11.534,1.306,0.17,0.17,35.599,41.599
77,Low Signal,No Signal,Bent,4.300,0.501,104,14.464,2.021,-0.24,0.24,37.400,42.900
71,Low Signal,No Signal,Bent,7.300,0.892,63,17.437,3.951,-0.58,0.58,29.500,151.100
50,Low Signal,No Signal,Holes,8.600,1.133,1595,8.959,4.403,0.305,0.305,-2.300,23.200
44,Low Signal,No Signal,Holes,9.600,0.924,514,8.959,1.649,0.377,0.377,35.099,73.699
53,Low Signal,No Signal,Holes,10.000,1.104,2384,9.536,4.352,0.041,0.041,3.000,61.799